elevation,stored_water,survey_date
200,10000,5/10/2020
300,250000,5/10/2020
400,500000,5/10/2020
500,650000,5/10/2020
600,800000,5/10/2020
700,1100000,5/10/2020
800,1400000,5/10/2020
900,2000000,5/10/2020
1000,4000000,5/10/2020
1100,6700000,5/10/2020
1200,7100000,5/10/2020
1300,6400000,5/10/2020
1400,6000000,5/10/2020
1500,2000000,5/10/2020
1600,500000,5/10/2020
200,0,5/15/2021
300,100000,5/15/2021
400,200000,5/15/2021
500,400000,5/15/2021
600,750000,5/15/2021
700,900000,5/15/2021
800,1300000,5/15/2021
900,3250000,5/15/2021
1000,5800000,5/15/2021
1100,8800000,5/15/2021
1200,9900000,5/15/2021
1300,10000000,5/15/2021
1400,6000000,5/15/2021
1500,1100000,5/15/2021
1600,400000,5/15/2021
200,0,4/27/2023
300,0,4/27/2023
400,400000,4/27/2023
500,800000,4/27/2023
600,1000000,4/27/2023
700,2000000,4/27/2023
800,3500000,4/27/2023
900,5000000,4/27/2023
1000,8800000,4/27/2023
1100,11000000,4/27/2023
1200,11200000,4/27/2023
1300,9800000,4/27/2023
1400,6000000,4/27/2023
1500,2000000,4/27/2023
1600,400000,4/27/2023
200,0,5/2/2024
300,0,5/2/2024
400,0,5/2/2024
500,0,5/2/2024
600,0,5/2/2024
700,0,5/2/2024
800,500000,5/2/2024
900,1250000,5/2/2024
1000,2900000,5/2/2024
1100,4700000,5/2/2024
1200,6400000,5/2/2024
1300,7200000,5/2/2024
1400,5000000,5/2/2024
1500,2250000,5/2/2024
1600,600000,5/2/2024
