duration,precip_cum,date
0,1,4/9/2023
1,2,4/9/2023
2,3,4/9/2023
3,4,4/9/2023
4,6.1,4/9/2023
5,7.1,4/9/2023
6,8.1,4/9/2023
7,11.2,4/9/2023
8,13.2,4/9/2023
9,17.3,4/9/2023
10,21.4,4/9/2023
11,24.4,4/9/2023
12,27.5,4/9/2023
13,30.5,4/9/2023
14,32.6,4/9/2023
15,36.7,4/9/2023
16,39.7,4/9/2023
17,40.7,4/9/2023
18,42.8,4/9/2023
19,43.8,4/9/2023
20,45.8,4/9/2023
21,47.9,4/9/2023
22,53,4/9/2023
23,56,4/9/2023
24,57,4/9/2023
25,57,4/9/2023
26,59.1,4/9/2023
27,67.2,4/9/2023
28,76.4,4/9/2023
29,85.6,4/9/2023
30,90.7,4/9/2023
31,100.9,4/9/2023
32,112.1,4/9/2023
33,124.3,4/9/2023
34,133.5,4/9/2023
35,146.7,4/9/2023
36,155.9,4/9/2023
37,168.2,4/9/2023
38,181.4,4/9/2023
39,192.6,4/9/2023
40,206.9,4/9/2023
41,218.1,4/9/2023
42,228.3,4/9/2023
43,229.3,4/9/2023
0,0,10/18/2023
1,0,10/18/2023
2,0,10/18/2023
3,0,10/18/2023
4,1,10/18/2023
5,2,10/18/2023
6,2,10/18/2023
7,4.1,10/18/2023
8,6.1,10/18/2023
9,6.1,10/18/2023
10,9.2,10/18/2023
11,10.2,10/18/2023
12,14.3,10/18/2023
13,17.3,10/18/2023
14,20.4,10/18/2023
15,26.5,10/18/2023
16,31.6,10/18/2023
17,34.7,10/18/2023
18,40.8,10/18/2023
19,48.9,10/18/2023
20,56.1,10/18/2023
21,63.2,10/18/2023
22,68.3,10/18/2023
23,77.5,10/18/2023
24,82.6,10/18/2023
25,87.7,10/18/2023
26,89.7,10/18/2023
27,92.8,10/18/2023
28,96.8,10/18/2023
29,98.9,10/18/2023
30,100.9,10/18/2023
31,103,10/18/2023
32,104,10/18/2023
33,106,10/18/2023
34,108,10/18/2023
35,109.1,10/18/2023
36,111.1,10/18/2023
37,115.2,10/18/2023
38,119.3,10/18/2023
39,120.3,10/18/2023
40,122.3,10/18/2023
41,124.4,10/18/2023
42,129.5,10/18/2023
43,133.5,10/18/2023
44,138.6,10/18/2023
45,139.6,10/18/2023
46,141.7,10/18/2023
47,142.7,10/18/2023
48,142.7,10/18/2023
0,0,11/11/2023
1,0,11/11/2023
2,1,11/11/2023
3,2,11/11/2023
4,3,11/11/2023
5,7.1,11/11/2023
6,12.2,11/11/2023
7,17.3,11/11/2023
8,20.3,11/11/2023
9,24.4,11/11/2023
10,29.5,11/11/2023
11,34.6,11/11/2023
12,42.8,11/11/2023
13,51.9,11/11/2023
14,62.1,11/11/2023
15,72.3,11/11/2023
16,82.5,11/11/2023
17,94.8,11/11/2023
18,107,11/11/2023
19,121.3,11/11/2023
20,143.7,11/11/2023
21,161,11/11/2023
22,168.1,11/11/2023
23,174.3,11/11/2023
24,176.3,11/11/2023
25,176.3,11/11/2023
26,176.3,11/11/2023
27,178.3,11/11/2023
28,179.4,11/11/2023
29,179.4,11/11/2023
30,179.4,11/11/2023
0,0,12/5/2023
1,0,12/5/2023
2,1,12/5/2023
3,5.1,12/5/2023
4,10.2,12/5/2023
5,16.3,12/5/2023
6,27.5,12/5/2023
7,39.7,12/5/2023
8,52,12/5/2023
9,63.2,12/5/2023
10,76.4,12/5/2023
11,88.9,12/5/2023
12,102.9,12/5/2023
13,113.1,12/5/2023
14,121.3,12/5/2023
15,129.4,12/5/2023
16,136.6,12/5/2023
17,146.8,12/5/2023
18,155.9,12/5/2023
19,158,12/5/2023
20,161,12/5/2023
21,166.1,12/5/2023
22,166.1,12/5/2023
0,0,1/12/2023
1,4.1,1/12/2023
2,8.2,1/12/2023
3,11.2,1/12/2023
4,18.4,1/12/2023
5,27.6,1/12/2023
6,37.8,1/12/2023
7,44.9,1/12/2023
8,51,1/12/2023
9,58.1,1/12/2023
10,63.2,1/12/2023
11,70.4,1/12/2023
12,76.5,1/12/2023
13,86.7,1/12/2023
14,94.8,1/12/2023
15,99.9,1/12/2023
16,108.1,1/12/2023
17,115.2,1/12/2023
18,125.4,1/12/2023
19,133.6,1/12/2023
20,143.8,1/12/2023
21,152.9,1/12/2023
22,160.1,1/12/2023
23,168.2,1/12/2023
24,174.3,1/12/2023
25,178.4,1/12/2023
26,182.5,1/12/2023
27,186.6,1/12/2023
28,190.7,1/12/2023
29,194.7,1/12/2023
30,197.8,1/12/2023
31,198.8,1/12/2023
32,203.9,1/12/2023
33,210,1/12/2023
34,218.2,1/12/2023
35,221.2,1/12/2023
36,223.3,1/12/2023
37,225.3,1/12/2023
38,225.3,1/12/2023
39,225.3,1/12/2023
40,226.3,1/12/2023
41,229.4,1/12/2023
42,231.4,1/12/2023
43,234.5,1/12/2023
44,242.6,1/12/2023
45,254.9,1/12/2023
46,265.1,1/12/2023
47,275.3,1/12/2023
48,282.4,1/12/2023
49,287.5,1/12/2023
50,290.6,1/12/2023
51,293.6,1/12/2023
52,300.7,1/12/2023
53,302.8,1/12/2023
54,302.8,1/12/2023
0,0,11/4/2023
1,1,11/4/2023
2,2,11/4/2023
3,6.1,11/4/2023
4,11.2,11/4/2023
5,19.4,11/4/2023
6,25.5,11/4/2023
7,36.7,11/4/2023
8,51,11/4/2023
9,55,11/4/2023
10,63.2,11/4/2023
11,78.5,11/4/2023
12,80.5,11/4/2023
13,85.6,11/4/2023
14,97.8,11/4/2023
15,97.8,11/4/2023
16,97.8,11/4/2023
17,99.9,11/4/2023
18,100.9,11/4/2023
19,100.9,11/4/2023
0,0,12/25/2023
1,1.1,12/25/2023
2,3.1,12/25/2023
3,4.1,12/25/2023
4,5.1,12/25/2023
5,9.2,12/25/2023
6,12.3,12/25/2023
7,15.3,12/25/2023
8,19.4,12/25/2023
9,23.5,12/25/2023
10,27.6,12/25/2023
11,36.7,12/25/2023
12,45.9,12/25/2023
13,59.2,12/25/2023
14,72.4,12/25/2023
15,80.6,12/25/2023
16,88.7,12/25/2023
17,91.8,12/25/2023
18,95.9,12/25/2023
19,108.1,12/25/2023
20,112.2,12/25/2023
21,120.3,12/25/2023
22,122.4,12/25/2023
23,122.4,12/25/2023
24,124.4,12/25/2023
