Date,Precip
1-Jan-03,324.26
1-Feb-03,103.77
1-Mar-03,412.8
1-Apr-03,240.12
1-May-03,93.34
1-Jun-03,36.52
1-Jul-03,51.82
1-Aug-03,8.89
1-Sep-03,124.13
1-Oct-03,550.78
1-Nov-03,407.04
1-Dec-03,360.52
1-Jan-04,467.19
1-Feb-04,194.7
1-Mar-04,324.47
1-Apr-04,69.26
1-May-04,161.18
1-Jun-04,45.4
1-Jul-04,18.03
1-Aug-04,158.12
1-Sep-04,173.95
1-Oct-04,322.94
1-Nov-04,532
1-Dec-04,498
1-Jan-05,896
1-Feb-05,135
1-Mar-05,286.21
1-Apr-05,194.17
1-May-05,186.01
1-Jun-05,134.27
1-Jul-05,121.08
1-Aug-05,42.12
1-Sep-05,156.41
1-Oct-05,423.75
1-Nov-05,330.55
1-Dec-05,349.28
1-Jan-06,628.48
1-Feb-06,159.67
1-Mar-06,258.71
1-Apr-06,135.25
1-May-06,106.06
1-Jun-06,126.7
1-Jul-06,30.19
1-Aug-06,13.94
1-Sep-06,84.25
1-Oct-06,240.18
1-Nov-06,832.22
1-Dec-06,334.98
1-Jan-07,681.88
1-Feb-07,326.26
1-Mar-07,458.14
1-Apr-07,129.2
1-May-07,125.42
1-Jun-07,139.33
1-Jul-07,117.81
1-Aug-07,36.26
1-Sep-07,130.44
1-Oct-07,451.93
1-Nov-07,254.4
1-Dec-07,376.48
1-Jan-08,335
1-Feb-08,198
1-Mar-08,185.16
1-Apr-08,108.08
1-May-08,72.81
1-Jun-08,76.84
1-Jul-08,61.67
1-Aug-08,198.26
1-Sep-08,46.17
1-Oct-08,275.73
1-Nov-08,369.18
1-Dec-08,520
1-Jan-09,328
1-Feb-09,142
1-Mar-09,270.33
1-Apr-09,103.85
1-May-09,142.37
1-Jun-09,31.44
1-Jul-09,29.16
1-Aug-09,72.09
1-Sep-09,147.66
1-Oct-09,345.54
1-Nov-09,725.71
1-Dec-09,219
1-Jan-10,424.2
1-Feb-10,223.1
1-Mar-10,228.5
1-Apr-10,219.8
1-May-10,162.3
1-Jun-10,74.3
1-Jul-10,0.75
1-Aug-10,63.5
1-Sep-10,189
1-Oct-10,261.8
1-Nov-10,307.9
1-Dec-10,383.6
1-Jan-11,367.5
1-Feb-11,243.2
1-Mar-11,375.2
1-Apr-11,242
1-May-11,211.2
1-Jun-11,103
1-Jul-11,97
1-Aug-11,83.8
1-Sep-11,128.7
1-Oct-11,210
1-Nov-11,339
1-Dec-11,191
1-Jan-12,406.2
1-Feb-12,237.8
1-Mar-12,311.3
1-Apr-12,163.2
1-May-12,135
1-Jun-12,185
1-Jul-12,67
1-Aug-12,8.4
1-Sep-12,27.9
1-Oct-12,423.7
1-Nov-12,457.5
1-Dec-12,448.3
1-Jan-13,230.4
1-Feb-13,288.3
1-Mar-13,487.2
1-Apr-13,298.7
1-May-13,170.2
1-Jun-13,90.9
1-Jul-13,0
1-Aug-13,118
1-Sep-13,273
1-Oct-13,80.2
1-Nov-13,253.7
1-Dec-13,182.9
1-Jan-14,289.05
1-Feb-14,248.9
1-Mar-14,486.2
1-Apr-14,318.3
1-May-14,150.6
1-Jun-14,56.9
1-Jul-14,74.4
1-Aug-14,14.5
1-Sep-14,163.8
1-Oct-14,391.4
1-Nov-14,570
1-Dec-14,418.6
1-Jan-15,365
1-Feb-15,265.68
1-Mar-15,475.74
1-Apr-15,141.23
1-May-15,19.55
1-Jun-15,16.26
1-Jul-15,43.2
1-Aug-15,278.89
1-Sep-15,248.67
1-Oct-15,235.96
1-Nov-15,354.84
1-Dec-15,614.43
1-Jan-16,473.2
1-Feb-16,375.7
1-Mar-16,389.4
1-Apr-16,73.15
1-May-16,113.4
1-Jun-16,170.68
1-Jul-16,90.17
1-Aug-16,25.15
1-Sep-16,174.24
1-Oct-16,461.01
1-Nov-16,475
1-Dec-16,440
1-Jan-17,312
1-Feb-17,256
1-Mar-17,625.58
1-Apr-17,394.98
1-May-17,219.36
1-Jun-17,102.07
1-Jul-17,23.36
1-Aug-17,24.38
1-Sep-17,86.31
1-Oct-17,318.88
1-Nov-17,586.86
1-Dec-17,236
1-Jan-18,646.3
1-Feb-18,230.3
1-Mar-18,291.1
1-Apr-18,287.23
1-May-18,7.37
1-Jun-18,90.18
1-Jul-18,20.58
1-Aug-18,20.32
1-Sep-18,290.34
1-Oct-18,208.55
1-Nov-18,786
1-Dec-18,610.4
1-Jan-19,426.4
1-Feb-19,153.3
1-Mar-19,88.4
1-Apr-19,248.94
1-May-19,76.2
1-Jun-19,29.97
1-Jul-19,106.43
1-Aug-19,113.18
1-Sep-19,335.29
1-Oct-19,263.92
1-Nov-19,248.93
1-Dec-19,419.6
1-Jan-20,898
1-Feb-20,357.8
1-Mar-20,259.1
1-Apr-20,56.4
1-May-20,137.17
1-Jun-20,128.79
1-Jul-20,67.06
1-Aug-20,90.43
1-Sep-20,207.8
1-Oct-20,251.1
1-Nov-20,498
1-Dec-20,560
1-Jan-21,472
1-Feb-21,256
1-Mar-21,280
1-Apr-21,119
1-May-21,79
1-Jun-21,104.9
1-Jul-21,4.5
1-Aug-21,66.8
1-Sep-21,415
1-Oct-21,504
1-Nov-21,871.22
1-Dec-21,315
1-Jan-22,515
1-Feb-22,192
1-Mar-22,314
1-Apr-22,279
1-May-22,219
1-Jun-22,121.4
1-Jul-22,40.1
1-Aug-22,17.5
1-Sep-22,30.7
1-Oct-22,311
1-Nov-22,235
1-Dec-22,250
1-Jan-23,318
1-Feb-23,333
1-Mar-23,118
1-Apr-23,312.93
1-May-23,19.6
1-Jun-23,41.4
1-Jul-23,43.9
1-Aug-23,55
1-Sep-23,100
1-Oct-23,
1-Nov-23,
