year,month,day,level
2015,4,24,-0.1
2015,5,1,1
2015,5,8,1
2015,5,15,2
2015,5,22,2
2015,5,29,2
2015,6,5,2
2015,6,12,2
2015,6,19,3
2015,6,26,3
2015,7,3,3
2015,7,10,4
2015,7,17,4
2015,7,24,4
2015,7,31,4
2015,8,7,4
2015,8,14,4
2015,8,21,4
2015,8,28,3
2015,9,4,2
2015,9,11,2
2015,9,18,1
2015,9,25,1
2015,10,2,1
2015,10,9,1
2015,10,16,1
2015,10,23,1
2015,10,30,1
2016,4,24,-0.1
2016,5,1,1
2016,5,8,1
2016,5,15,1
2016,5,22,2
2016,5,29,2
2016,6,5,2
2016,6,12,2
2016,6,19,2
2016,6,26,2
2016,7,3,2
2016,7,10,2
2016,7,17,2
2016,7,24,2
2016,7,31,2
2016,8,7,2
2016,8,14,2
2016,8,21,2
2016,8,28,2
2016,9,4,2
2016,9,11,2
2016,9,18,1
2016,9,25,1
2016,10,2,1
2016,10,9,1
2016,10,16,1
2016,10,23,0
2016,10,30,0
2017,4,24,-0.1
2017,5,1,0
2017,5,8,0
2017,5,15,0
2017,5,22,0
2017,5,29,1
2017,6,5,1
2017,6,12,1
2017,6,19,1
2017,6,26,1
2017,7,3,1
2017,7,10,1
2017,7,17,1
2017,7,24,2
2017,7,31,2
2017,8,7,2
2017,8,14,2
2017,8,21,2
2017,8,28,2
2017,9,4,2
2017,9,11,3
2017,9,18,3
2017,9,25,3
2017,10,2,4
2017,10,9,4
2017,10,16,1
2017,10,23,0
2017,10,30,0
2018,4,24,-0.1
2018,5,1,0
2018,5,8,0
2018,5,15,1
2018,5,22,1
2018,5,29,1
2018,6,5,1
2018,6,12,1
2018,6,19,2
2018,6,26,2
2018,7,3,2
2018,7,10,2
2018,7,17,2
2018,7,24,3
2018,7,31,3
2018,8,7,3
2018,8,14,3
2018,8,21,3
2018,8,28,3
2018,9,4,3
2018,9,11,2
2018,9,18,2
2018,9,25,1
2018,10,2,1
2018,10,9,1
2018,10,16,1
2018,10,23,1
2018,10,30,1
2019,4,24,-0.1
2019,5,1,0
2019,5,8,0
2019,5,15,1
2019,5,22,1
2019,5,29,2
2019,6,5,2
2019,6,12,3
2019,6,19,3
2019,6,26,3
2019,7,3,3
2019,7,10,3
2019,7,17,3
2019,7,24,3
2019,7,31,3
2019,8,7,3
2019,8,14,3
2019,8,21,3
2019,8,28,3
2019,9,4,3
2019,9,11,1
2019,9,18,1
2019,9,25,1
2019,10,2,1
2019,10,9,1
2019,10,16,1
2019,10,23,1
2019,10,30,0
2020,4,24,-0.1
2020,5,1,0
2020,5,8,0
2020,5,15,0
2020,5,22,0
2020,5,29,0
2020,6,5,0
2020,6,12,0
2020,6,19,0
2020,6,26,1
2020,7,3,1
2020,7,10,1
2020,7,17,1
2020,7,24,1
2020,7,31,1
2020,8,7,1
2020,8,14,1
2020,8,21,1
2020,8,28,1
2020,9,4,1
2020,9,11,1
2020,9,18,1
2020,9,25,1
2020,10,2,1
2020,10,9,0
2020,10,16,0
2020,10,23,0
2020,10,30,0
2021,4,24,-0.1
2021,5,1,0
2021,5,8,0
2021,5,15,0
2021,5,22,0
2021,5,29,1
2021,6,5,1
2021,6,12,1
2021,6,19,1
2021,6,26,1
2021,7,3,1
2021,7,10,1
2021,7,17,3
2021,7,24,3
2021,7,31,4
2021,8,7,4
2021,8,14,4
2021,8,21,4
2021,8,28,4
2021,9,4,4
2021,9,11,3
2021,9,18,3
2021,9,25,2
2021,10,2,1
2021,10,9,0
2021,10,16,0
2021,10,23,0
2021,10,30,0
2022,4,24,-0.1
2022,5,1,0
2022,5,8,0
2022,5,15,0
2022,5,22,0
2022,5,29,0
2022,6,5,0
2022,6,12,0
2022,6,19,0
2022,6,26,0
2022,7,3,0
2022,7,10,0
2022,7,17,0
2022,7,24,0
2022,7,31,1
2022,8,7,1
2022,8,14,1
2022,8,21,2
2022,8,28,2
2022,9,4,3
2022,9,11,3
2022,9,18,4
2022,9,25,4
2022,10,2,4
2022,10,9,5
2022,10,16,5
2022,10,23,5
2022,10,30,4
2023,4,24,-0.1
2023,5,1,1
2023,5,8,1
2023,5,15,2
2023,5,22,2
2023,5,29,2
2023,6,5,3
2023,6,12,3
2023,6,19,3
2023,6,26,4
2023,7,3,4
2023,7,10,4
2023,7,17,4
2023,7,24,4
2023,7,31,4
2023,8,7,4
2023,8,14,5
2023,8,21,5
2023,8,28,5
2023,9,4,5
2023,9,11,5
2023,9,18,5
2023,9,25,4
2023,10,2,3
2023,10,9,3
2023,10,16,2
2023,10,23,1
2023,10,30,1
