Site,Lat,Long,Elevation,precip,utm_x,utm_y
Lower Capilano FW,49.38694,-123.11968,250,322,491314,5470478
Capilano FW,49.44496,-123.10402,300,247,492460,5476927
Capilano mid-valley,49.45379,-123.11012,300,240,492019,5477909
Lower Seymour FW,49.37925,-122.99552,200,307,500325,5469617
Seymour FW,49.48584,-122.94626,380,189,503892,5481468
Seymour at Orchid ,49.52026,-123.00398,250,194,499712,5485293
Orchid Lake,49.53588,-123.05076,1175,238,496327,5487031
Palisade Lake,49.45446,-123.03179,900,305,497696,5477978
Hesketh,49.4616,-123.1311,600,278,490500,5478780
Coquitlam FW,49.36409,-122.75339,350,245,517906,5467960
Disappointment Lake,49.55448,-122.75861,1050,258,517459,5489126
Squamish,49.78321,-123.16119,15,172,488396,5514540
DNV Fire Hall 4,49.31557,-122.96305,115,262,502686,5462538
Grouse Mountain ,49.38003,-123.08069,1200,336,494143,5469706
DNV Muni. Hall,49.3362,-123.07815,145,283,494322,5464834
Burns Bog,49.1258,-123.0022,2,166,499839,5441441
Pitt Meadows,49.2083,-122.69,5,180,522579,5450658
Van Harbour,49.2954,-123.1219,0,189,491137,5460302
Van Sea Island,49.1825,-123.1872,0,131,486358,5447761
ECCC - West Van,49.34704,-123.19331,170,220,485959,5466054
Hastings Creek,49.35889,-123.0356,345,345,497415,5467354
Westwood Plateau,49.31067,-122.8086,330,217,513912,5462010
WV Muni. Hall,49.33123,-123.15971,30,316,488396,5464290
Seymour Falls Dam,49.44029,-122.96769,215,311,502342,5476403
Port Moody ,49.28021,-122.83411,10,231,512065,5458619
Maple Ridge ,49.2207,-122.53886,85,175,533580,5452093
DNV LV Firehall,49.3347,-123.04354,145,281,496837,5464665
Burke Mtn Firehall,49.29529,-122.7426,175,208,518715,5460314
Central Park ,49.22541,-123.01327,150,182,499034,5452514
Cleveland Dam,49.36032,-123.11064,155,270,491966,5467518
Coquitlam Dam,49.35326,-122.77482,155,353,516353,5466752
Seycove Marina,49.33192,-122.9396,10,274,504388,5464357
Capilano Lakehead,49.3965,-123.1454,165,355,489450,5471544
Abotsford,49.02281,-122.3672,55,180,546263,5430184
Stave Upper BCH,49.5925,-122.3645,1175,200,545928.68,5493522
Coq above the Lake,49.48756,-122.7925,285,272,514989.66,5481712.88
