year,month,date,prcp,tmean,spei_1,spei_3,spi_1,spi_3,balance,pet
2020,1,1/1/2020,871.5,2.6,1.717466033,0.696475376,1.86353204,0.684572513,862.6478563,8.85214365
2020,2,2/1/2020,265.19,2.3,0.775205847,1.644301595,0.69711192,1.725682623,257.1267164,8.063283625
2020,3,3/1/2020,259.09,3.6,-0.572415519,1.571213615,-0.55172097,1.512648087,242.3244777,16.76552233
2020,4,4/1/2020,56.4,8,-1.406285397,-0.732161773,-1.71655902,-0.748033199,12.98840728,43.41159272
2020,5,5/1/2020,137.17,12.5,-0.042005016,-1.051800705,0.284005,-0.976816478,57.46280091,79.70719909
2020,6,6/1/2020,128.79,13.9,0.768236262,-0.606673177,0.80218518,-0.581646641,38.22181509,90.56818491
2020,7,7/1/2020,67.06,16.9,0.550169019,0.531830392,0.53269807,0.627808595,-45.38141498,112.441415
2020,8,8/1/2020,90.43,16.9,0.685800718,0.994286824,0.56445647,0.8824782,-12.57494773,103.0049477
2020,9,9/1/2020,207.27,16.1,0.335267176,0.507303384,0.45399083,0.539517654,124.5431107,82.72688934
2020,10,10/1/2020,241.31,9,-0.730598004,-0.249153031,-0.62817971,-0.21633014,201.8061823,39.50381766
2020,11,11/1/2020,456.2,4.4,0.20729071,-0.126674115,0.08836945,-0.179482701,440.7365432,15.46345676
2020,12,12/1/2020,513.03,3.4,1.003629615,0.021282799,0.95829255,0.180669357,501.8247779,11.20522213
2021,1,1/1/2021,355.33,3.6,-0.504381546,-0.016200869,-0.49986854,0.074620534,342.8957695,12.43423047
2021,2,2/1/2021,217.93,1.3,0.099258757,0.187185801,0.04751144,0.076278806,213.4858888,4.444111215
2021,3,3/1/2021,254.76,4.5,-0.656695983,-0.879128635,-0.59233134,-0.840258051,233.5955595,21.16444054
2021,4,4/1/2021,119.13,8.6,-0.787323213,-0.688923854,-0.63695263,-0.688091603,72.31325355,46.81674645
2021,5,5/1/2021,78.74,11.5,-0.829655714,-1.060667724,-0.76792811,-0.976996724,5.678902483,73.06109752
2021,6,6/1/2021,104.9,17.5,-0.185799824,-0.922983536,0.40164742,-0.748534715,-10.29034764,115.1903476
2021,7,7/1/2021,4.57,19.6,-1.464856441,-1.038043644,-1.50774357,-0.799549199,-126.6917882,131.2617882
2021,8,8/1/2021,66.8,18.1,0.225004315,-0.945779485,0.27630065,-0.455611594,-43.85361583,110.6536158
2021,9,9/1/2021,414.78,13.8,1.890336765,1.258432493,1.87938241,1.272711304,344.3523116,70.42768845
2021,10,10/1/2021,503.94,8,1.445387929,2.07653094,1.33817778,2.383556878,469.0076684,34.93233155
2021,11,11/1/2021,871.22,5.5,1.636291345,2.086042905,1.69348508,2.567125967,851.6992595,19.52074052
2021,12,12/1/2021,310.39,-0.5,-0.528660609,2.049843499,-0.47155619,1.72188349,310.39,0
2022,1,1/1/2022,514.86,2,0.608112113,1.21807976,0.39009119,1.116145044,508.1290992,6.730900825
2022,2,2/1/2022,192.53,2.8,-0.413948585,-0.085179657,-0.34125914,-0.204358076,182.6281839,9.901816118
2022,3,3/1/2022,314.2,5,-0.114045429,0.073435405,-0.07102594,0.057179867,290.5742827,23.62571728
2022,4,4/1/2022,278.64,5.5,1.037199453,0.420604803,0.93358847,0.249625448,249.2843202,29.35567976
2022,5,5/1/2022,218.69,9.4,1.662815777,0.993315569,1.33239412,0.770437852,159.4999123,59.19008769
2022,6,6/1/2022,121.41,14.3,0.575341213,1.460591466,0.68405971,1.375202251,28.11872564,93.29127436
2022,7,7/1/2022,40.13,18.8,-0.42359394,0.985703051,-0.10415103,1.000408447,-85.54267227,125.6726723
2022,8,8/1/2022,17.53,20.1,-1.304978882,-0.73544249,-0.72238033,-0.415411675,-105.9206022,123.4506022
2022,9,9/1/2022,30.7,16.4,-1.6427,-1.744,-1.9202,-1.9621,-53.6,84.3
2022,10,10/1/2022,310,12.5,-0.324,-1.853,-0.103,-1.619,243.415,55.585
2022,11,11/1/2022,225,2.3,-1.3198,-1.8595,-1.2135,-1.61233,217.17315,7.82685
2022,12,12/1/2022,454,0.1,0.62237,-0.82239,0.5716,-0.6873,453.7198,0.28018
2023,1,1/1/2023,318,3.5,-0.812045,-0.997656,,-0.9583294,306.0253112,11.97468879
2023,2,2/1/2023,333,1.8,1.5137,0.2992,,0.1469855,326.8256811,6.174318906
2023,3,3/1/2023,118,4.2,-1.680746,-1.1076886,,-1.069209,98.45364862,19.54635138
2023,4,4/1/2023,315,6.2,1.2377,0.327735,,0.159158,281.9281095,33.07189053
2023,5,5/1/2023,19,15.4,-1.63291,-1.090502,,-0.930785,-79.89473712,98.89473712
2023,6,6/1/2023,48,16.5,-1.05561,-0.33131,,-0.111635,-60.12347316,108.1234732
2023,7,7/1/2023,44,19.4,-0.403416,-1.5441686,,-1.707833,-85.70677042,129.7067704
2023,8,8/1/2023,18,19.8,-1.16129,-1.56053,,-1.4331,-103.3907866,121.3907866
